title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Seandainya,Vierratale,intro,Am,vi,,
Seandainya,Vierratale,intro,F,IV,,
Seandainya,Vierratale,intro,G,V,,
Seandainya,Vierratale,intro,Am,vi,,
Seandainya,Vierratale,intro,F,IV,,
Seandainya,Vierratale,intro,G,V,,
Seandainya,Vierratale,intro,Am,vi,,
Seandainya,Vierratale,intro,F,IV,,
Seandainya,Vierratale,intro,G,V,,
Seandainya,Vierratale,intro,Am,vi,,
Seandainya,Vierratale,intro,F,IV,,
Seandainya,Vierratale,intro,G,V,,
Seandainya,Vierratale,intro,Am,vi,,
Seandainya,Vierratale,intro,F,IV,,
Seandainya,Vierratale,intro,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,chorus,C,I,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,E,III,,
Seandainya,Vierratale,chorus,Am,vi,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,F,IV,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,C,I,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,E,III,,
Seandainya,Vierratale,chorus,Am,vi,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,F,IV,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,interlude,Am,vi,,
Seandainya,Vierratale,interlude,F,IV,,
Seandainya,Vierratale,interlude,G,V,,
Seandainya,Vierratale,interlude,Am,vi,,
Seandainya,Vierratale,interlude,F,IV,,
Seandainya,Vierratale,interlude,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,verse,Am,vi,,
Seandainya,Vierratale,verse,F,IV,,
Seandainya,Vierratale,verse,G,V,,
Seandainya,Vierratale,chorus,C,I,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,E,III,,
Seandainya,Vierratale,chorus,Am,vi,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,F,IV,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,C,I,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,E,III,,
Seandainya,Vierratale,chorus,Am,vi,,
Seandainya,Vierratale,chorus,G,V,,
Seandainya,Vierratale,chorus,F,IV,,
