title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Seandainya,Vierratale,intro,Am,vi,0.626938776,2.484535147
Seandainya,Vierratale,intro,F,IV,2.484535147,4.388571429
Seandainya,Vierratale,intro,G,V,4.388571429,8.219863946
Seandainya,Vierratale,intro,Am,vi,8.219863946,10.216780045
Seandainya,Vierratale,intro,F,IV,10.216780045,12.167256236
Seandainya,Vierratale,intro,G,V,12.167256236,15.905668934
Seandainya,Vierratale,intro,Am,vi,15.905668934,17.925804989
Seandainya,Vierratale,intro,F,IV,17.925804989,19.760181406
Seandainya,Vierratale,intro,G,V,19.760181406,23.568253968
Seandainya,Vierratale,intro,Am,vi,23.568253968,25.518730159
Seandainya,Vierratale,intro,F,IV,25.518730159,27.42276644
Seandainya,Vierratale,intro,G,V,27.42276644,31.230839002
Seandainya,Vierratale,intro,Am,vi,31.230839002,33.227755102
Seandainya,Vierratale,intro,F,IV,33.227755102,35.085351474
Seandainya,Vierratale,intro,G,V,35.085351474,38.939863946
Seandainya,Vierratale,verse,Am,vi,38.939863946,40.820680272
Seandainya,Vierratale,verse,F,IV,40.820680272,42.724716553
Seandainya,Vierratale,verse,G,V,42.724716553,46.55600907
Seandainya,Vierratale,verse,Am,vi,46.55600907,48.506485261
Seandainya,Vierratale,verse,F,IV,48.506485261,50.503401361
Seandainya,Vierratale,verse,G,V,50.503401361,54.265034014
Seandainya,Vierratale,verse,Am,vi,54.265034014,56.261950113
Seandainya,Vierratale,verse,F,IV,56.261950113,58.165986395
Seandainya,Vierratale,verse,G,V,58.165986395,61.997278912
Seandainya,Vierratale,verse,Am,vi,61.997278912,63.808435374
Seandainya,Vierratale,verse,F,IV,63.808435374,65.712471655
Seandainya,Vierratale,verse,G,V,65.712471655,69.845623583
Seandainya,Vierratale,verse,Am,vi,69.845623583,71.424580499
Seandainya,Vierratale,verse,F,IV,71.424580499,73.32861678
Seandainya,Vierratale,verse,G,V,73.32861678,77.252789116
Seandainya,Vierratale,chorus,C,I,77.252789116,81.060861678
Seandainya,Vierratale,chorus,G,V,81.060861678,82.964897959
Seandainya,Vierratale,chorus,E,III,82.964897959,84.845714286
Seandainya,Vierratale,chorus,Am,vi,84.845714286,86.819410431
Seandainya,Vierratale,chorus,G,V,86.819410431,88.700226757
Seandainya,Vierratale,chorus,F,IV,88.700226757,90.581043084
Seandainya,Vierratale,chorus,G,V,90.581043084,92.554739229
Seandainya,Vierratale,chorus,C,I,92.554739229,96.362811791
Seandainya,Vierratale,chorus,G,V,96.362811791,98.266848073
Seandainya,Vierratale,chorus,E,III,98.266848073,100.170884354
Seandainya,Vierratale,chorus,Am,vi,100.170884354,102.237460317
Seandainya,Vierratale,chorus,G,V,102.237460317,104.002176871
Seandainya,Vierratale,chorus,F,IV,104.002176871,105.929433107
Seandainya,Vierratale,chorus,G,V,105.929433107,107.856689342
Seandainya,Vierratale,interlude,Am,vi,107.856689342,109.783945578
Seandainya,Vierratale,interlude,F,IV,109.783945578,111.734421769
Seandainya,Vierratale,interlude,G,V,111.734421769,115.496054422
Seandainya,Vierratale,interlude,Am,vi,115.496054422,117.446530612
Seandainya,Vierratale,interlude,F,IV,117.446530612,119.350566893
Seandainya,Vierratale,interlude,G,V,119.350566893,123.18185941
Seandainya,Vierratale,verse,Am,vi,123.18185941,125.062675737
Seandainya,Vierratale,verse,F,IV,125.062675737,126.966712018
Seandainya,Vierratale,verse,G,V,126.966712018,130.82122449
Seandainya,Vierratale,verse,Am,vi,130.82122449,132.725260771
Seandainya,Vierratale,verse,F,IV,132.725260771,134.652517007
Seandainya,Vierratale,verse,G,V,134.652517007,138.460589569
Seandainya,Vierratale,verse,Am,vi,138.460589569,140.41106576
Seandainya,Vierratale,verse,F,IV,140.41106576,142.338321995
